#From Claude 3.5 Sonnet based on txt OCR of DMG, need to verify
#MAJOR MALEVOLENT EFFECTS
IV (Score=d100)
| Score | *Result* |
| 01->03 | Body rot is 10% cumulative likely whenever a primary power is used, and part of the body is lost permanently |
| 04->06 | Capricious alignment change each time a primary power is used |
| 07->09 | Geas/quest placed upon possessor |
| 10->12 | Item contains the life force of another person, and after a set number of uses, the possessor's life force is drawn into it and the former soul released |
| 13->15 | Item has power to affect its possessor when a primary power is used if the character has not followed the alignment or purposes of the artifact/relic |
| 16->18 | Item is a prison for a powerful being; 1%-4% cumulative chance per usage that it will break free, kill the possessor's soul, and use their body |
| 19->21 | Item is itself a living, sentient being forced to serve; 1%-3% cumulative possibility per primary power use that the spell will be broken |
| 22->24 | Item is powerless against and hates 1-3 species of creatures, and when within 10" of any such creatures it forces its possessor to attack |
| 25->27 | Item releases a gas which renders all creatures, including wielder, within 20' powerless to move for 5-20 rounds |
| 28->30 | Lose 1 point of charisma permanently |
| 31->33 | Lose 1 point of constitution permanently |
| 34->36 | Lose 1 point of dexterity permanently |
| 37->39 | Lose 1 point from hit points permanently |
| 40->42 | Lose 1 point of intelligence permanently |
| 43->45 | Lose 1 point of strength permanently |
| 46->48 | Lose 1 point of wisdom permanently |
| 49->51 | Magic drained from the most powerful magic item (other than an artifact or relic) within 20' of user |
| 52->54 | Reverse alignment permanently |
| 55->57 | Sacrifice a certain animal to activate item for 1 day |
| 58->60 | Sacrifice a human or player character to activate item for 1 day |
| 61->63 | Sacrifice 10,000-60,000 g.p. worth of gems and/or jewelry to activate item for 1 day |
| 64->66 | User becomes berserk and attacks creatures within 20' randomly (check each round) for 5-20 rounds |
| 67->69 | User goes insane for 1-4 days |
| 70->72 | User grows 1/4' taller each time primary power is used |
| 73->75 | User instantly killed (but may be raised or resurrected) |
| 76->78 | User loses 1 level of experience |
| 79->81 | User receives 2-20 hit points damage |
| 82->84 | User receives 5-30 hit points damage |
| 85->87 | User required to slay a certain type of creature to activate item, and slaying another set type will de-activate item |
| 88->90 | User shrinks 1/4' each time primary power is used |
| 91->93 | User transformed into a very powerful but minor being from another plane (demon, devil, godling) by creator of item and is carried off to serve this new master |
| 94->96 | User withers and ages 3-30 years each time the primary power is used, eventually turning into a deathless withered zombie guardian of the item |
| 97->99 | Utterance of a spell causes complete loss of voice for one day |
| 100 | Yearning to be worshipped is uncontrollable; those failing to bow and scrape to the artifact's possessor will be subject to instant attack |

