#From Claude 3.5 Sonnet based on txt OCR of DMG, BROKEN! Should fix (or ask Sonnet to do so)
#Conjured Animals
Conjured Animals (Score=d100)
| Score | *Hit Dice* | *Animal Type* | *Hit Dice Cost* |
| 01->15 | 1 | Baboon | "1.5" |
| 16->45 | 1 | Dog, wild | "1.5" |
| 46->55 | 1 | Flightless Bird | "0.75" |
| 56->65 | 1 | Jackal | "0.5" |
| 66->100 | 1 | Rat, giant | "0.5" |
| 01->25 | 2 | Badger | "1.25" |
| 26->35 | 2 | Flightless bird | 2 |
| 36->60 | 2 | Herd animal | 2 |
| 61->100 | 2 | Horse, wild | 2 |
| 01->05 | 3 | Axe beak | 3 |
| 06->10 | 3 | Badger, giant | 3 |
| 11->15 | 3 | Boar, warthog | 3 |
| 16->20 | 3 | Camel | 3 |
| 21->30 | 3 | Cattle, wild | "2.5" |
| 31->40 | 3 | Dog, war | "2.5" |
| 41->45 | 3 | Flightless bird | 3 |
| 46->55 | 3 | Goat, giant | "3.5" |
| 56->65 | 3 | Hyena | 3 |
| 66->75 | 3 | Lion, mountain | "3.5" |
| 76->80 | 3 | Lynx, giant | "2.5" |
| 81->85 | 3 | Mule | 3 |
| 86->90 | 3 | Stag | 3 |
| 91->95 | 3 | Wolf | "2.5" |
| 96->100 | 3 | Wolverine | 3 |
| 01->05 | 4 | Ape | "2.5" |
| 06->15 | 4 | Bear, black | "3.25" |
| 16->20 | 4 | Beaver, giant | 4 |
| 21->30 | 4 | Boar, wild | "3.25" |
| 31->40 | 4 | Bull | 4 |
| 41->45 | 4 | Eagle, giant | 4 |
| 46->50 | 4 | Irish deer | "4.5" |
| 51->55 | 4 | Jaguar | "3.25" |
| 56->60 | 4 | Leopard | 4 |
| 61->65 | 4 | Owl, giant | "3.25" |
| 66->75 | 4 | Ram, giant | 4 |
| 76->85 | 4 | Weasel, giant | "3.25" |
| 86->100 | 4 | Wolf, dire | "3.25" |
| 01->10 | 5 | Ape, carnivorous | 5 |
| 11->25 | 5 | Buffalo | 5 |
| 26->35 | 5 | Hyena, giant | 5 |
| 36->50 | 5 | Otter, giant | 5 |
| 51->70 | 5 | Skunk, giant | 5 |
| 71->85 | 5 | Stag, giant | 5 |
| 86->100 | 5 | Wolverine, giant | 5 |
| 01->40 | 6 | Bear, brown | "6.5" |
| 41->60 | 6 | Lion | "5.5" |
| 61->80 | 6 | Porcupine, giant | 6 |
| 81->100 | 6 | Tiger | "6.5" |
| 01->65 | 7 | Boar, giant | 7 |
| 66->100 | 7 | Lion, spotted | "6.5" |
| 01->30 | 8 | Bear, cave | "7.5" |
| 31->70 | 8 | Hippopotamus | 8 |
| 71->100 | 8 | Tiger, sabre-tooth | "7.5" |
| 01->60 | 9 | Rhinoceros | "8.5" |
| 61->100 | 9 | Elephant | 10 |
| 01->60 | 10 | Rhinoceros, woolly | 10 |
| 61->100 | 10 | Elephant (loxodont) | 11 |
| 01->100 | 11 | Mastodon | 12 |
| 01->100 | 12 | Titanothere | 12 |
| 01->100 | 13 | Mammoth | 13 |
| 01->100 | 14 | Whale (small) | 14 |
| 01->100 | 15+ | Baluchitherium | 14 |
