#From Claude 3.5 Sonnet based on txt OCR of DMG, need to verify
#Dungeon Dressing - Furnishings
Furnishings (Score=d100)
| Score | *Results* |
| 01 | altar |
| 02 | armchair |
| 03 | armoire |
| 04 | arras |
| 05 | bag |
| 06 | barrel |
| 07->08 | bed |
| 09 | bench |
| 10 | blanket |
| 11 | box (large) |
| 12 | brazier & charcoal |
| 13 | bucket |
| 14 | buffet |
| 15 | bunks |
| 16 | butt (large barrel) |
| 17 | cabinet |
| 18 | candelabrum |
| 19 | carpet (largish) |
| 20 | cask |
| 21 | chandelier |
| 22 | charcoal |
| 23->24 | chair |
| 25 | chair, padded |
| 26 | chair, padded, arm |
| 27 | chest, large |
| 28 | chest, medium |
| 29 | chest of drawers |
| 30 | closet (wardrobe) |
| 31 | coal |
| 32->33 | couch |
| 34 | crate |
| 35 | cresset |
| 36 | cupboard |
| 37 | cushion |
| 38 | "dais" |
| 39 | "desk" |
| 40->42 | fireplace & wood |
| 43 | fireplace with mantle |
| 44 | firkin |
| 45 | fountain |
| 46 | fresco |
| 47 | grindstone |
| 48 | hamper |
| 49 | hassock |
| 50 | hogshead |
| 51 | idol (largish) |
| 52 | keg |
| 53 | loom |
| 54 | mat |
| 55 | mattress |
| 56 | pail |
| 57 | painting |
| 58->60 | pallet |
| 61 | pedestal |
| 62->64 | pegs |
| 65 | pillow |
| 66 | pipe (large cask) |
| 67 | quilt |
| 68->70 | rug (small-medium) |
| 71 | rushes |
| 72 | sack |
| 73 | sconce, wall |
| 74 | screen |
| 75 | sheet |
| 76->77 | shelf |
| 78 | shrine |
| 79 | sideboard |
| 80 | sofa |
| 81 | staff, normal |
| 82 | stand |
| 83 | statue |
| 84 | stool, high |
| 85 | stool, normal |
| 86 | table, large |
| 87 | table, long |
| 88 | table, low |
| 89 | table, round |
| 90 | table, small |
| 91 | table, trestle |
| 92 | tapestry |
| 93 | throne |
| 94 | trunk |
| 95 | tub |
| 96 | tun |
| 97 | urn |
| 98 | wall basin and font |
| 99 | wood billets |
| 100 | workbench |
