#From Claude 3.5 Sonnet based on txt OCR of DMG, need to verify
#Woods/Forest Encounters
Woods/Forest (Score=d100)
| Score | *Monster* | *Number Appearing* |
| 01->03 | Bandit | 2d6 |
| 04->06 | Bear | 1d4 |
| 07->09 | Boar, wild | 1d4 |
| 10->12 | Bugbear | 2d4 |
| 13->15 | Centaur | 2d10 |
| 16->18 | Dragon, green | 1 |
| 19->23 | Dryad | 1d6 |
| 24->28 | Elf | 2d12 |
| 29->33 | Giant, hill | 1d4 |
| 34->38 | Gnoll | 3d6 |
| 39->43 | Goblin | 6d10 |
| 44->48 | Hobgoblin | 4d6 |
| 49->53 | Lycanthrope | 1d6 |
| 54->58 | Nixie | 2d20 |
| 59->63 | Ogre | 1d6 |
| 64->68 | Orc | 3d10 |
| 69->73 | Owlbear | 1d4 |
| 74->78 | Pixie | 3d12 |
| 79->83 | Spider, giant | 1d3 |
| 84->88 | Stirge | 3d12 |
| 89->93 | Treant | 1d8 |
| 94->97 | Troll | 1d8 |
| 98->100 | Unicorn | 1d4 |
