#From Claude 3.5 Sonnet based on txt OCR of DMG, need to verify
Disease (Or Disorder) Table (Score=d100)
| Score | *Area of Body Affected* | *Acute* | *Chronic* | *Mild* | *Severe* | *Terminal* |
| 01->03 | blood/blood forming organs | 1-3 | 4-8 | 1-2 | 3-5 | 6-8 |
| 04 | bones | 1 | 2-8 | 1 | 2-3 | 4-8 |
| 05 | brain/nervous system | 1-6 | 7-8 | 1-2 | 3-5 | 6-8 |
| 06->07 | cardiovascular-renal | 1-3 | 4-8 | 1-2 | 3-4 | 5-8 |
| 08->09 | connective tissue | 1 | 2-8 | 1 | 2-3 | 4-8 |
| 10->12 | ears | 1-7 | 8 | 1-6 | 7 | 8 |
| 13->18 | eyes | 1-7 | 8 | 1-5 | 6-7 | 8 |
| 19->40 | gastro-intestinal | 1-6 | 7-8 | 1-5 | 6-7 | 8 |
| 41->42 | generative organs | 1-2 | 3-8 | 1-3 | 4-7 | 8 |
| 43->48 | joints | 1-4 | 5-8 | 1-6 | 7-8 | - |
| 49->50 | mucous membranes | 1-7 | 8 | 1-6 | 7-8 | - |
| 51->52 | muscles | 1-5 | 6-8 | 1-5 | 6-7 | 8 |
| 53->65 | nose-throat | 1-6 | 7-8 | 1-6 | 7-8 | - |
| 66->85 | respiratory system | 1-5 | 6-8 | 1-5 | 6-7 | 8 |
| 86->96 | skin | 1-6 | 7-8 | 1-5 | 6-7 | 8 |
| 97->00 | urinary system | 1-6 | 7-8 | 1-5 | 6-7 | - |
