M-U Spell Level 1 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 1		| 1	| Affect Normal Fires 	|
| 1		| 1	| Alarm 	|
| 1		| 1	| Armor	|
| 1		| 1	| Burning Hands	|
| 1		| 1	| Charm Person	|
| 1		| 1	| Comprehend Languages	|
| 1		| 1	| Dancing Lights	|
| 1		| 1	| Detect Magic 	|
| 1		| 1	| Enlarge	|
| 1		| 1	| Erase	|
| 1		| 1	| Feather Fall	|
| 1		| 1	| Find Familiar	|
| 1		| 1	| Firewater	|
| 1		| 1	| Friends	|
| 1		| 1	| Grease	|
| 1		| 1	| Hold Portal	|
| 1		| 1	| Identify	|
| 1		| 1	| Jump	|
| 1		| 1	| Light (reversible)	|
| 1		| 1	| Magic Missile	|
| 1		| 1	| Melt	|
| 1		| 1	| Mending	|
| 1		| 1	| Message	|
| 1		| 1	| Mount	|
| 1		| 1	| Nystul's Magic Aura	|
| 1		| 1	| Precipitation	|
| 1		| 1	| Protection From Evil (reversible)	|
| 1		| 1	| Push	|
| 1		| 1	| Read Magic (reversible)	|
| 1		| 1	| Run	|
| 1		| 1	| Shield	|
| 1		| 1	| Shocking Grasp	|
| 1		| 1	| Sleep	|
| 1		| 1	| Spider Climb 	|
| 1		| 1	| Taunt	|
| 1		| 1	| Tenser's Floating Disc	|
| 1		| 1	| Unseen Servant	|
| 1		| 1	| Ventriloquism	|
| 1		| 1	| Wizard Mark	|
| 1		| 1	| Write	|

M-U Spell Level 2 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 1		| 2	| Audible Glamer	|
| 1		| 2	| Bind	|
| 1		| 2	| Continual Light (not reversible)	|
| 1		| 2	| Darkness 15' Radius	|
| 1		| 2	| Deeppokets	|
| 1		| 2	| Detect Evil (reversible)	|
| 1		| 2	| Detect Invisibility	|
| 1		| 2	| ESP	|
| 1		| 2	| Flaming Sphere	|
| 1		| 2	| Fools Gold	|
| 1		| 2	| Forget	|
| 1		| 2	| Invisibility	|
| 1		| 2	| Irritation	|
| 1		| 2	| Knock	|
| 1		| 2	| Know Alignment (reversible)	|
| 1		| 2	| Leomund's Trap	|
| 1		| 2	| Levitate	|
| 1		| 2	| Locate Object	|
| 1		| 2	| Magic Mouth	|
| 1		| 2	| Melf's Acid Arrow	|
| 1		| 2	| Mirror Image	|
| 1		| 2	| Preserve	|
| 1		| 2	| Protection From Cantrips	|
| 1		| 2	| Pyrotechnics	|
| 1		| 2	| Ray of Enfeeblement	|
| 1		| 2	| Rope Trick	|
| 1		| 2	| Scare	|
| 1		| 2	| Shatter	|
| 1		| 2	| Stinking Cloud	|
| 1		| 2	| Strength	|
| 1		| 2	| Tasha's Uncontrollable Hideous Laughter	|
| 1		| 2	| Vocalize	|
| 1		| 2	| Web	|
| 1		| 2	| Whip	|
| 1		| 2	| Wizard Lock	|
| 1		| 2	| Zephyr	|

M-U Spell Level 3 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 1		| 3	| Blink	|
| 1		| 3	| Clairaudience	|
| 1		| 3	| Clairvoyance	|
| 1		| 3	| Cloudburst	|
| 1		| 3	| Detect Illusion	|
| 1		| 3	| Dispel Magic	|
| 1		| 3	| Explosive Runes	|
