M-U Spell Level 1 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 2		| 1	| Affect Normal Fires 	|
| 2		| 1	| Alarm 	|
| 5		| 1	| Armor	|
| 1		| 1	| Burning Hands	|
| 12		| 1	| Charm Person	|
| 8		| 1	| Comprehend Languages	|
| 8		| 1	| Dancing Lights	|
| 3		| 1	| Detect Magic 	|
| 3		| 1	| Enlarge	|
| 2		| 1	| Erase	|
| 5		| 1	| Feather Fall	|
| 7		| 1	| Find Familiar	|
| 2		| 1	| Firewater	|
| 1		| 1	| Friends	|
| 2		| 1	| Grease	|
| 1		| 1	| Hold Portal	|
| 1		| 1	| Identify	|
| 1		| 1	| Jump	|
| 6		| 1	| Light (reversible)	|
| 14		| 1	| Magic Missile	|
| 1		| 1	| Melt	|
| 1		| 1	| Mending	|
| 1		| 1	| Message	|
| 3		| 1	| Mount	|
| 4		| 1	| Nystul's Magic Aura	|
| 3		| 1	| Precipitation	|
| 5		| 1	| Protection From Evil (reversible)	|
| 1		| 1	| Push	|
| 0		| 1	| Read Magic (reversible)	|
| 1		| 1	| Run	|
| 9		| 1	| Shield	|
| 6		| 1	| Shocking Grasp	|
| 10		| 1	| Sleep	|
| 1		| 1	| Spider Climb 	|
| 2		| 1	| Taunt	|
| 9		| 1	| Tenser's Floating Disc	|
| 6		| 1	| Unseen Servant	|
| 6		| 1	| Ventriloquism	|
| 1		| 1	| Wizard Mark	|
| 6		| 1	| Write	|

M-U Spell Level 2 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 2		| 2	| Audible Glamer	|
| 1		| 2	| Bind	|
| 3		| 2	| Continual Light (not reversible)	|
| 3		| 2	| Darkness 15' Radius	|
| 1		| 2	| Deeppockets	|
| 6		| 2	| Detect Evil (reversible)	|
| 2		| 2	| Detect Invisibility	|
| 4		| 2	| ESP	|
| 1		| 2	| Flaming Sphere	|
| 2		| 2	| Fools Gold	|
| 1		| 2	| Forget	|
| 13		| 2	| Invisibility	|
| 2		| 2	| Irritation	|
| 4		| 2	| Knock	|
| 2		| 2	| Know Alignment (reversible)	|
| 5		| 2	| Leomund's Trap	|
| 14		| 2	| Levitate	|
| 5		| 2	| Locate Object	|
| 6		| 2	| Magic Mouth	|
| 3		| 2	| Melf's Acid Arrow	|
| 15		| 2	| Mirror Image	|
| 2		| 2	| Preserve	|
| 4		| 2	| Protection From Cantrips	|
| 2		| 2	| Pyrotechnics	|
| 1		| 2	| Ray of Enfeeblement	|
| 7		| 2	| Rope Trick	|
| 4		| 2	| Scare	|
| 2		| 2	| Shatter	|
| 4		| 2	| Stinking Cloud	|
| 6		| 2	| Strength	|
| 11		| 2	| Tasha's Uncontrollable Hideous Laughter	|
| 7		| 2	| Vocalize	|
| 5		| 2	| Web	|
| 1		| 2	| Whip	|
| 13		| 2	| Wizard Lock	|
| 1		| 2	| Zephyr	|

M-U Spell Level 3 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 1		| 3	| Blink	|
| 1		| 3	| Clairaudience	|
| 14		| 3	| Clairvoyance	|
| 6		| 3	| Cloudburst	|
| 1		| 3	| Detect Illusion	|
| 2		| 3	| Dispel Magic	|
| 6		| 3	| Explosive Runes	|
| 1		| 3	| Feign Death	|
| 6		| 3	| Fireball	|
| 2		| 3	| Flame Arrow	|
| 5		| 3	| Fly	|
| 8		| 3	| Gust of Wind	|
| 6		| 3	| Haste	|
| 1		| 3	| Hold Person	|
| 9		| 3	| Infravision	|
| 2		| 3	| Invisibility 10' Radius	|
| 3		| 3	| Item	|
| 3		| 3	| Leomund's Tiny Hut	|
| 5		| 3	| Lightning Bolt	|
| 8		| 3	| Material	|
| 1		| 3	| Melf's Minute Meteor	|
| 10		| 3	| Monster Summoning I	|
| 1		| 3	| Phantasmal Force	|
| 4		| 3	| Protection From Evil, 10' Radius (reversible)	|
| 8		| 3	| Protection From Normal Missiles	|
| 3		| 3	| Secret Page	|
| 1		| 3	| Sepia Snake Sigil	|
| 18		| 3	| Slow	|
| 12		| 3	| Suggestion	|
| 2		| 3	| Tongues (reversible)	|
| 1		| 3	| Water Breathing (reversible)	|
| 1		| 3	| Wind Wall	|

M-U Spell Level 4 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 14		| 4	| Charm Monster	|
| 6		| 4	| Confusion	|
| 4		| 4	| Dig	|
| 14		| 4	| Dimension Door	|
| 5		| 4	| Dispel Illusion	|
| 8		| 4	| Enchanted Weapon	|
| 1		| 4	| Evard's Black Tentacles	|
| 1		| 4	| Extension I	|
| 5		| 4	| Fear	|
| 5		| 4	| Fire Charm	|
| 7		| 4	| Fire Shield	|
| 1		| 4	| Fire Trap	|
| 1		| 4	| Fumble	|
| 4		| 4	| Hallucinatory Terrain	|
| 2		| 4	| Ice Storm	|
| 1		| 4	| Leomund's Secure Shelter	|
| 2		| 4	| Magic Mirror	|
| 2		| 4	| Massmorph	|
| 12		| 4	| Minor Globe of Invulnerability	|
| 1		| 4	| Otiluk's Resilient Sphere	|
| 3		| 4	| Plant Growth	|
| 6		| 4	| Polymorph Other	|
| 12		| 4	| Polymorph Self	|
| 1		| 4	| Rary's Mnemonic Enhancer	|
| 2		| 4	| Remove Curse (reversible)	|
| 4		| 4	| Shout	|
| 4		| 4	| Stoneskin	|
| 4		| 4	| Ultravision	|
| 4		| 4	| Wall of Fire	|
| 1		| 4	| Wall of Ice	|
| 2		| 4	| Wizard Eye	|

M-U Spell Level 5 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 5		| 5	| Airy Water	|
| 4		| 5	| Animal Growth	|
| 11		| 5	| Animate Dead	|
| 1		| 5	| Avoidance	|
| 1		| 5	| Bigby's Interposing Hand	|
| 3		| 5	| Cloudkill	|
| 1		| 5	| Conjure Elemental	|
| 13		| 5	| Cone of Cold	|
| 9		| 5	| Contact Other Plane	|
| 3		| 5	| Dismissal	|
| 1		| 5	| Distance Distortion	|
| 1		| 5	| Dolor	|
| 3		| 5	| Extension II	|
| 9		| 5	| Fabricate	|
| 4		| 5	| Feeblemind	|
| 1		| 5	| Hold Monster	|
| 1		| 5	| Leomund's Lamentable Belabourment	|
| 3		| 5	| Leomund's Secret Chest	|
| 3		| 5	| Magic Jar	|
| 4		| 5	| Monster Summoning III	|
| 8		| 5	| Mordenkainen's Faithful Hound	|
| 2		| 5	| Passwall	|
| 1		| 5	| Sending	|
| 4		| 5	| Stone Shape	|
| 1		| 5	| Telekinesis	|
| 14		| 5	| Teleport	|
| 4		| 5	| Transmute Rock To Mud	|
| 1		| 5	| Wall of Force	|
| 2		| 5	| Wall of Iron	|
| 11		| 5	| Wall of Stone	|

M-U Spell Level 6 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 7		| 6	| Anti-Magic Shell	|
| 4		| 6	| Bigby's Forceful Hand	|
| 4		| 6	| Chain Lightning	|
| 3		| 6	| Contingency	|
| 2		| 6	| Control Weather	|
| 5		| 6	| Death Spell	|
| 8		| 6	| Disintegrate	|
| 4		| 6	| Enchant An Item	|
| 1		| 6	| Ensnarement	|
| 2		| 6	| Extension III	|
| 1		| 6	| Eyebite	|
| 5		| 6	| Geas	|
| 2		| 6	| Glassee	|
| 7		| 6	| Globe of Invulnerability	|
| 2		| 6	| Guards and Wards	|
| 5		| 6	| Invisible Stalker	|
| 1		| 6	| Legend Lore	|
| 2		| 6	| Lower Water	|
| 2		| 6	| Monster Summoning IV	|
| 7		| 6	| Mordenkainen's Lucubration	|
| 1		| 6	| Move Earth	|
| 4		| 6	| Otiluke's Freezing Sphere	|
| 2		| 6	| Part Water	|
| 3		| 6	| Project Image	|
| 6		| 6	| Reincarnation	|
| 2		| 6	| Repulsion	|
| 4		| 6	| Spiritwrack	|
| 10		| 6	| Stone to Flesh	|
| 2		| 6	| Tenser's Transformation	|
| 4		| 6	| Transmute Water to Dust	|

M-U Spell Level 7 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 7		| 7	| Banishment	|
| 4		| 7	| Bigby's Grasping Hand	|
| 5		| 7	| Cacodemon	|
| 4		| 7	| Charm Plants	|
| 3		| 7	| Delayed Blast Fireball	|
| 2		| 7	| Drawmij's Instant Summons	|
| 1		| 7	| Duo-Dimension	|
| 1		| 7	| Forcecage	|
| 5		| 7	| Limited Wish	|
| 2		| 7	| Mass Invisibility	|
| 1		| 7	| Monster Summoning V	|
| 5		| 7	| Mordenkainen's Magnificent Mansion	|
| 1		| 7	| Mordenkainen's Sword	|
| 6		| 7	| Phase Door	|
| 9		| 7	| Power Word, Stun	|
| 2		| 7	| Reverse Gravity	|
| 3		| 7	| Sequester	|
| 4		| 7	| Simulacrum	|
| 1		| 7	| Statue	|
| 6		| 7	| Teleport Without Error	|
| 1		| 7	| Torment	|
| 4		| 7	| Truename	|
| 1		| 7	| Vanish	|
| 2		| 7	| Volley	|

M-U Spell Level 8 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 1		| 8	| Antipathy/Sympathy	|
| 3		| 8	| Bigby's Clenched Fist	|
| 2		| 8	| Binding	|
| 6		| 8	| Clone	|
| 1		| 8	| Demand	|
| 5		| 8	| Glassteel	|
| 2		| 8	| Incendiary Cloud	|
| 2		| 8	| Mass Charm	|
| 8		| 8	| Maze	|
| 6		| 8	| Mind Blank	|
| 4		| 8	| Monster Summoning VI	|
| 3		| 8	| Otiluke's Telekinetic Sphere	|
| 1		| 8	| Otto's Irresistible Dance	|
| 15		| 8	| Permanency	|
| 3		| 8	| Polymorph Any Object	|
| 1		| 8	| Power Word, Blind	|
| 2		| 8	| Serten's Spell Immunity	|
| 2		| 8	| Sink	|
| 3		| 8	| Symbol	|
| 1		| 8	| Trap The Soul	|

M-U Spell Level 9 (Weight=d?)
| Weight	| *Level* | *Spell*	|
| 3		| 9	| Astral Spell	|
| 1		| 9	| Bigby's Crushing Hand	|
| 1		| 9	| Crystalbrittle	|
| 1		| 9	| Energy Drain	|
| 2		| 9	| Gate	|
| 7		| 9	| Imprisonment	|
| 4		| 9	| Meteor Swarm	|
| 4		| 9	| Monster Summoning VII	|
| 4		| 9	| Mordenkainen's Disjunction	|
| 6		| 9	| Power Word, Kill	|
| 2		| 9	| Prismatic Sphere	|
| 4		| 9	| Shape Change	|
| 2		| 9	| Succor	|
| 4		| 9	| Temporal Stasis	|
| 1		| 9	| Time Stop	|
| 9		| 9	| Wish	|
